5fa2e8c6616c2500174a5334,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,weight,Is veg,salePrice,maxRetailPrice
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ChetosCpuff30g Rs.10,-,1 pkt,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Laysclassicsalt,-,1 pkt,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Laysclassicsalt,-,1 pkt,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lays Chile Limon 52G Rs20,-,1 pc,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lays ASCO 90g  Rs.35,-,1 pkt,TRUE,35,35
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lays Macho Chill,-,1 pkt,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,KK N Tomato 90g Rs.20,-,1 pkt,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lays Classic Salted 28G Rs10,-,1 pkt,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Indian Magic Masala,-,1 pkt,TRUE,65,65
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lysclsicsltd 28g@10,-,1 pkt,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lays Hot & Sweet Chilli 55gm,-,1 pkt,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,30g Lays Red/stt,-,1 pkt,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,30g Lays Mm,-,1 pkt,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,chilli chatka,-,1 pkt,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,American Cream & Onion,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MAD ANGLES RS.10 MASALA_FA,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BINGO ORIGINAL STYLE rs.10,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ACHAARI MASTI MADANGLES-90GM,-,1 pc,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Achaari,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,B.YUMITOS SALTED ONION,-,1 pc,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BINGO ORIGINAL STYLE SALT,-,1 pc,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,B.YUMITOS CRM& ONION,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,B.YUMITOS SALTED,-,1 pkt,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BINGO CHIPS MASALA 22GM + 40% EXTRA,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,B.YUMITOS TOMATO,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ac.ma.mad Angles,-,1 pkt,TRUE,5,5
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,mad angels chees nachos,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,mad ageles cheese nachos,-,1 pc,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,mad angeles pizza-aaaah,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Palli Chikki,-,1 pc,TRUE,55,55
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pringels potato Cream&Onion,-,1 pkt,TRUE,99,99
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,pringles original,-,1 pkt,TRUE,99,99
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DOODH PED-200G,-,1 pkt,TRUE,120,120
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Palli Chikki,-,1 pkt,TRUE,30,30
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,pringles potato crisps,-,1 pkt,TRUE,99,99
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,pringles pizza flavour,-,1 pc,TRUE,99,99
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,chakodi,-,1 pkt,TRUE,45,45
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soya Stivks,-,1 pkt,TRUE,60,60
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tasty Nuts,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soya Sticks- 1pkt,-,1 pkt,TRUE,60,60
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ratlami Sev,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soya Sticks 50g,-,1 pc,TRUE,10,10
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Masala peanuts,-,1 pkt,TRUE,25,25
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Palli Pappu Box,-,1 box,TRUE,60,80
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sew Snacks,-,1 box,TRUE,60,80
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ribbon Pakodi Box S,-,1 box,TRUE,60,80
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DoritosNach44g Rs.20,-,1 pkt,TRUE,20,20
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sada Sev,-,1 pkt,TRUE,54,54
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banana chips,-,1 pkt,TRUE,70,70
